city,area,rooms,bathroom,parking spaces,animal,furniture,hoa (R$),rent amount (R$),property tax (R$),fire insurance (R$)
Belo Horizonte,120,3,3,2,acept,not furnished,0,2320,125,39
Belo Horizonte,1000,3,4,2,acept,not furnished,0,5000,365,82
Belo Horizonte,120,4,3,2,acept,not furnished,0,3250,0,44
Belo Horizonte,300,5,4,3,acept,not furnished,0,15000,417,246
Belo Horizonte,66,2,1,1,acept,not furnished,380,500,23,7
Belo Horizonte,50,2,1,0,not acept,not furnished,0,1200,250,16
Belo Horizonte,95,2,1,1,not acept,furnished,330,2000,94,27
Belo Horizonte,65,3,2,1,not acept,not furnished,250,950,82,13
Belo Horizonte,400,3,3,0,acept,not furnished,0,3500,142,58
Belo Horizonte,158,3,3,2,acept,not furnished,796,3700,360,50
Belo Horizonte,85,3,2,2,not acept,not furnished,500,1500,114,20
Belo Horizonte,95,3,2,1,acept,not furnished,300,2300,182,31
Belo Horizonte,85,2,2,1,acept,not furnished,1105,1100,119,15
Belo Horizonte,50,1,1,2,acept,not furnished,0,1280,83,21
Belo Horizonte,63,3,2,2,not acept,not furnished,180,1300,90,18
Belo Horizonte,115,3,2,1,not acept,not furnished,334,2200,110,30
Belo Horizonte,70,2,1,1,acept,not furnished,370,1100,103,15
Belo Horizonte,165,3,2,4,acept,furnished,230,2870,142,39
Belo Horizonte,71,3,2,2,acept,not furnished,660,970,149,13
Belo Horizonte,106,3,2,2,not acept,not furnished,1294,2200,239,30
Belo Horizonte,300,5,3,4,acept,not furnished,900,6800,167,112
Belo Horizonte,300,3,5,0,acept,not furnished,0,5500,310,91
Belo Horizonte,450,5,5,3,acept,not furnished,0,6500,542,107
Belo Horizonte,67,2,2,2,not acept,not furnished,831,3170,34,43
Belo Horizonte,50,2,1,1,acept,not furnished,145,700,62,10
Belo Horizonte,89,3,2,1,acept,not furnished,330,1300,138,18
Belo Horizonte,150,4,1,3,acept,furnished,1600,4350,542,58
Belo Horizonte,65,2,2,0,acept,not furnished,210,1200,19,16
Belo Horizonte,161,3,1,2,acept,not furnished,0,3500,435,58
Belo Horizonte,93,2,1,0,not acept,not furnished,475,1600,70,22
Belo Horizonte,300,3,2,2,acept,not furnished,0,2500,224,41
Belo Horizonte,28,1,1,1,not acept,furnished,720,890,65,12
Belo Horizonte,300,3,2,2,acept,not furnished,0,4000,184,66
Belo Horizonte,130,3,1,1,acept,not furnished,0,2000,293,27
Belo Horizonte,53,3,1,0,acept,not furnished,230,1000,68,14
Belo Horizonte,70,2,1,0,not acept,not furnished,0,1030,0,17
Belo Horizonte,195,4,2,2,acept,not furnished,0,3400,236,56
Belo Horizonte,300,4,4,4,acept,not furnished,0,6200,343,102
Belo Horizonte,85,2,1,1,acept,not furnished,250,1250,88,17
Belo Horizonte,80,3,2,1,acept,not furnished,720,1900,195,26
Belo Horizonte,150,3,2,2,acept,not furnished,808,1600,240,22
Belo Horizonte,450,7,5,3,not acept,not furnished,0,7880,292,130
Belo Horizonte,55,2,2,1,not acept,not furnished,380,1700,75,23
Belo Horizonte,181,4,2,2,acept,furnished,1530,4000,434,54
Belo Horizonte,216,4,5,5,acept,not furnished,600,7500,0,100
Belo Horizonte,67,2,2,1,acept,furnished,400,1612,59,22
Belo Horizonte,120,3,2,2,not acept,not furnished,350,1500,81,20
Belo Horizonte,70,3,2,2,acept,not furnished,554,1900,228,26
Belo Horizonte,200,4,4,2,acept,furnished,900,4100,500,55
Belo Horizonte,82,3,2,1,acept,not furnished,410,1000,64,14
Belo Horizonte,168,4,3,2,not acept,not furnished,430,2000,108,27
Belo Horizonte,190,1,1,1,not acept,not furnished,0,3900,162,64
Belo Horizonte,180,5,5,4,acept,not furnished,0,4500,270,74
Belo Horizonte,682,6,7,6,acept,not furnished,0,5500,428,91
Belo Horizonte,60,3,2,1,acept,not furnished,404,1100,83,15
Belo Horizonte,120,3,3,1,acept,not furnished,0,2200,145,30
Belo Horizonte,90,3,2,2,acept,not furnished,472,1550,84,21
Belo Horizonte,154,4,4,3,acept,furnished,1670,8500,153,114
Belo Horizonte,320,5,4,3,acept,not furnished,660,3400,220,46
Belo Horizonte,200,3,2,2,acept,not furnished,0,12000,369,197
Belo Horizonte,96,3,1,1,acept,furnished,575,2200,154,30
Belo Horizonte,90,1,2,0,acept,not furnished,325,1300,54,18
Belo Horizonte,120,3,2,2,acept,not furnished,600,2200,120,37
Belo Horizonte,69,2,3,2,acept,not furnished,700,2600,172,35
Belo Horizonte,95,3,2,2,not acept,not furnished,150,1650,145,22
Belo Horizonte,42,1,1,1,not acept,not furnished,410,2690,172,36
Belo Horizonte,46,2,1,1,acept,not furnished,200,1050,27,14
Belo Horizonte,95,3,2,1,acept,not furnished,722,1400,129,19
Belo Horizonte,55,2,1,1,not acept,not furnished,180,850,0,12
Belo Horizonte,70,2,1,0,acept,not furnished,0,1200,42,16
Belo Horizonte,57,1,1,1,not acept,not furnished,1500,1400,158,19
Belo Horizonte,220,5,4,4,acept,not furnished,400,2700,170,36
Belo Horizonte,66,2,2,1,acept,not furnished,568,2100,226,28
Belo Horizonte,90,2,1,0,acept,not furnished,0,1320,70,22
Belo Horizonte,25,1,1,0,not acept,not furnished,0,650,0,9
Belo Horizonte,60,1,1,1,acept,not furnished,0,3000,0,40
Belo Horizonte,200,3,3,0,acept,not furnished,0,1800,0,30
Belo Horizonte,110,2,3,0,acept,not furnished,0,3500,125,47
Belo Horizonte,164,4,2,2,acept,not furnished,310,3500,144,47
Belo Horizonte,75,2,2,1,acept,not furnished,270,1300,98,18
Belo Horizonte,32,1,1,1,acept,not furnished,60,850,67,12
Belo Horizonte,55,1,1,1,not acept,furnished,1250,3450,250,46
Belo Horizonte,83,4,2,2,acept,not furnished,270,1500,225,20
Belo Horizonte,180,3,2,0,acept,not furnished,0,3200,359,53
Belo Horizonte,50,2,1,1,acept,not furnished,230,799,67,11
Belo Horizonte,45,1,1,1,acept,not furnished,507,2800,142,38
Belo Horizonte,65,2,1,1,acept,not furnished,409,800,17,11
Belo Horizonte,85,3,2,1,acept,not furnished,250,1450,73,20
Belo Horizonte,69,3,2,1,not acept,not furnished,305,1600,90,22
